Date,Rate,Base,Rate_currency
2019-01-03,79.143,EUR,INR
2019-01-04,79.793,EUR,INR
2019-01-05,79.793,EUR,INR
2019-01-06,79.793,EUR,INR
2019-01-07,79.197,EUR,INR
2019-01-08,80.051,EUR,INR
2019-01-09,80.269,EUR,INR
2019-01-10,81.456,EUR,INR
2019-01-11,80.977,EUR,INR
2019-01-12,80.977,EUR,INR
2019-01-13,80.977,EUR,INR
2019-01-14,80.667,EUR,INR
2019-01-15,81.103,EUR,INR
2019-01-16,81.096,EUR,INR
2019-01-17,80.823,EUR,INR
2019-01-18,80.852,EUR,INR
2019-01-19,80.852,EUR,INR
2019-01-20,80.852,EUR,INR
2019-01-21,80.889,EUR,INR
2019-01-22,80.857,EUR,INR
2019-01-23,80.874,EUR,INR
2019-01-24,80.945,EUR,INR
2019-01-25,80.232,EUR,INR
2019-01-26,80.232,EUR,INR
2019-01-27,80.232,EUR,INR
2019-01-28,79.511,EUR,INR
2019-01-29,81.187,EUR,INR
2019-01-30,81.607,EUR,INR
2019-01-31,81.719,EUR,INR
2019-02-01,81.152,EUR,INR
2019-02-02,81.152,EUR,INR
2019-02-03,81.152,EUR,INR
2019-02-04,81.763,EUR,INR
2019-02-05,81.928,EUR,INR
2019-02-06,81.519,EUR,INR
2019-02-07,81.237,EUR,INR
2019-02-08,80.764,EUR,INR
2019-02-09,80.764,EUR,INR
2019-02-10,80.764,EUR,INR
2019-02-11,80.551,EUR,INR
2019-02-12,80.155,EUR,INR
2019-02-13,79.89,EUR,INR
2019-02-14,79.747,EUR,INR
2019-02-15,80.159,EUR,INR
2019-02-16,80.159,EUR,INR
2019-02-17,80.159,EUR,INR
2019-02-18,80.48,EUR,INR
2019-02-19,80.658,EUR,INR
2019-02-20,80.8,EUR,INR
2019-02-21,80.557,EUR,INR
2019-02-22,80.641,EUR,INR
2019-02-23,80.641,EUR,INR
2019-02-24,80.641,EUR,INR
2019-02-25,80.492,EUR,INR
2019-02-26,80.42,EUR,INR
2019-02-27,80.835,EUR,INR
2019-02-28,80.928,EUR,INR
2019-03-01,80.467,EUR,INR
2019-03-02,80.467,EUR,INR
2019-03-03,80.467,EUR,INR
2019-03-04,80.69,EUR,INR
2019-03-05,80.314,EUR,INR
2019-03-06,79.627,EUR,INR
2019-03-07,79.205,EUR,INR
2019-03-08,78.439,EUR,INR
2019-03-09,78.439,EUR,INR
2019-03-10,78.439,EUR,INR
2019-03-11,78.637,EUR,INR
2019-03-12,78.508,EUR,INR
2019-03-13,78.509,EUR,INR
2019-03-14,78.732,EUR,INR
2019-03-15,78.361,EUR,INR
2019-03-16,78.361,EUR,INR
2019-03-17,78.361,EUR,INR
2019-03-18,78.045,EUR,INR
2019-03-19,77.717,EUR,INR
2019-03-20,78.283,EUR,INR
2019-03-21,78.533,EUR,INR
2019-03-22,78.188,EUR,INR
2019-03-23,78.188,EUR,INR
2019-03-24,78.188,EUR,INR
2019-03-25,78.182,EUR,INR
2019-03-26,77.911,EUR,INR
2019-03-27,77.706,EUR,INR
2019-03-28,77.668,EUR,INR
2019-03-29,77.626,EUR,INR
2019-03-30,77.626,EUR,INR
2019-03-31,77.626,EUR,INR
2019-04-01,77.591,EUR,INR
2019-04-02,77.471,EUR,INR
2019-04-03,77.135,EUR,INR
2019-04-04,76.889,EUR,INR
2019-04-05,77.336,EUR,INR
2019-04-06,77.336,EUR,INR
2019-04-07,77.336,EUR,INR
2019-04-08,77.588,EUR,INR
2019-04-09,78.277,EUR,INR
2019-04-10,77.966,EUR,INR
2019-04-11,77.89,EUR,INR
2019-04-12,77.64,EUR,INR
2019-04-13,77.64,EUR,INR
2019-04-14,77.64,EUR,INR
2019-04-15,78.091,EUR,INR
2019-04-16,78.368,EUR,INR
2019-04-17,78.381,EUR,INR
2019-04-18,78.33,EUR,INR
2019-04-19,77.896,EUR,INR
2019-04-20,77.896,EUR,INR
2019-04-21,77.896,EUR,INR
2019-04-22,78.016,EUR,INR
2019-04-23,78.453,EUR,INR
2019-04-24,78.226,EUR,INR
2019-04-25,77.95,EUR,INR
2019-04-26,78.061,EUR,INR
2019-04-27,78.061,EUR,INR
2019-04-28,78.061,EUR,INR
2019-04-29,77.782,EUR,INR
2019-04-30,78.057,EUR,INR
2019-05-01,78.047,EUR,INR
2019-05-02,78.171,EUR,INR
2019-05-03,77.475,EUR,INR
2019-05-04,77.475,EUR,INR
2019-05-05,77.475,EUR,INR
2019-05-06,77.345,EUR,INR
2019-05-07,77.666,EUR,INR
2019-05-08,77.814,EUR,INR
2019-05-09,78.008,EUR,INR
2019-05-10,78.674,EUR,INR
2019-05-11,78.674,EUR,INR
2019-05-12,78.674,EUR,INR
2019-05-13,78.582,EUR,INR
2019-05-14,79.249,EUR,INR
2019-05-15,78.704,EUR,INR
2019-05-16,78.616,EUR,INR
2019-05-17,78.405,EUR,INR
2019-05-18,78.405,EUR,INR
2019-05-19,78.405,EUR,INR
2019-05-20,78.335,EUR,INR
2019-05-21,77.663,EUR,INR
2019-05-22,77.675,EUR,INR
2019-05-23,77.615,EUR,INR
2019-05-24,77.837,EUR,INR
2019-05-25,77.837,EUR,INR
2019-05-26,77.837,EUR,INR
2019-05-27,76.8,EUR,INR
2019-05-28,77.719,EUR,INR
2019-05-29,77.661,EUR,INR
2019-05-30,77.684,EUR,INR
2019-05-31,77.646,EUR,INR
2019-06-01,77.646,EUR,INR
2019-06-02,77.646,EUR,INR
2019-06-03,77.707,EUR,INR
2019-06-04,77.713,EUR,INR
2019-06-05,77.897,EUR,INR
2019-06-06,77.846,EUR,INR
2019-06-07,77.917,EUR,INR
2019-06-08,77.917,EUR,INR
2019-06-09,77.917,EUR,INR
2019-06-10,78.52,EUR,INR
2019-06-11,78.595,EUR,INR
2019-06-12,78.543,EUR,INR
2019-06-13,78.269,EUR,INR
2019-06-14,78.393,EUR,INR
2019-06-15,78.393,EUR,INR
2019-06-16,78.393,EUR,INR
2019-06-17,78.196,EUR,INR
2019-06-18,78.298,EUR,INR
2019-06-19,77.869,EUR,INR
2019-06-20,78.175,EUR,INR
2019-06-21,78.446,EUR,INR
2019-06-22,78.446,EUR,INR
2019-06-23,78.446,EUR,INR
2019-06-24,79.058,EUR,INR
2019-06-25,78.88,EUR,INR
2019-06-26,78.735,EUR,INR
2019-06-27,78.649,EUR,INR
2019-06-28,78.453,EUR,INR
2019-06-29,78.453,EUR,INR
2019-06-30,78.453,EUR,INR
2019-07-01,78.316,EUR,INR
2019-07-02,77.671,EUR,INR
2019-07-03,77.707,EUR,INR
2019-07-04,77.564,EUR,INR
2019-07-05,77.256,EUR,INR
2019-07-06,77.256,EUR,INR
2019-07-07,77.256,EUR,INR
2019-07-08,76.755,EUR,INR
2019-07-09,76.821,EUR,INR
2019-07-10,76.744,EUR,INR
2019-07-11,76.95,EUR,INR
2019-07-12,76.934,EUR,INR
2019-07-13,76.934,EUR,INR
2019-07-14,76.934,EUR,INR
2019-07-15,77.191,EUR,INR
2019-07-16,77.106,EUR,INR
2019-07-17,76.933,EUR,INR
2019-07-18,77.217,EUR,INR
2019-07-19,77.454,EUR,INR
2019-07-20,77.454,EUR,INR
2019-07-21,77.454,EUR,INR
2019-07-22,77.195,EUR,INR
2019-07-23,77.16,EUR,INR
2019-07-24,76.895,EUR,INR
2019-07-25,76.79,EUR,INR
2019-07-26,77.003,EUR,INR
2019-07-27,77.003,EUR,INR
2019-07-28,77.003,EUR,INR
2019-07-29,76.563,EUR,INR
2019-07-30,76.53,EUR,INR
2019-07-31,76.734,EUR,INR
2019-08-01,76.175,EUR,INR
2019-08-02,76.385,EUR,INR
2019-08-03,76.385,EUR,INR
2019-08-04,76.385,EUR,INR
2019-08-05,77.343,EUR,INR
2019-08-06,79.551,EUR,INR
2019-08-07,79.517,EUR,INR
2019-08-08,79.668,EUR,INR
2019-08-09,78.775,EUR,INR
2019-08-10,78.775,EUR,INR
2019-08-11,78.775,EUR,INR
2019-08-12,79.355,EUR,INR
2019-08-13,79.871,EUR,INR
2019-08-14,79.741,EUR,INR
2019-08-15,79.338,EUR,INR
2019-08-16,79.701,EUR,INR
2019-08-17,79.701,EUR,INR
2019-08-18,79.701,EUR,INR
2019-08-19,78.831,EUR,INR
2019-08-20,79.106,EUR,INR
2019-08-21,79.325,EUR,INR
2019-08-22,79.15,EUR,INR
2019-08-23,79.644,EUR,INR
2019-08-24,79.644,EUR,INR
2019-08-25,79.644,EUR,INR
2019-08-26,79.599,EUR,INR
2019-08-27,79.873,EUR,INR
2019-08-28,79.267,EUR,INR
2019-08-29,79.543,EUR,INR
2019-08-30,79.213,EUR,INR
2019-08-31,79.213,EUR,INR
2019-09-01,79.213,EUR,INR
2019-09-02,78.454,EUR,INR
2019-09-03,78.83,EUR,INR
