text,label
"Specter of Trump Loosens Tongues, if Not Purse Strings, in Silicon Valley - The New York Times by David Streitfeld",0
Russian warships ready to strike terrorists near Aleppo by no author,1
"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police by Common Dreams",0
"Tim Tebow Will Attempt Another Comeback, This Time in Baseball - The New York Times by Daniel Victor",1
Keiser Report: Meme Wars (E995) by Truth Broadcast Network,1
Trump is USA's antique hero. Clinton will be next president by no author,1
Pelosi Calls for FBI Investigation to Find Out ’What the Russians Have on Donald Trump’ - Breitbart by Pam Key,1
Weekly Featured Profile – Randy Shannon by Trevor Loudon,1
Urban Population Booms Will Make Climate Change Worse by no author,0
no title by cognitive dissident,1
184 U.S. generals and admirals endorse Trump for Commander-In-Chief by Dr. Eowyn,0
“Working Class Hero” by John Brennon by Doug Diamond,1
The Rise of Mandatory Vaccinations Means the End of Medical Freedom by Shaun Bradley,0
Communists Terrorize Small Business by Steve Watson,1
"Computer Programmer Comes Forward, Admits To Being Paid To Rig Voting Booths! TRUMP WAS RIGHT! • USA Newsflash by Usa News Flash",1
"Thieves Take a Chunk of Change, All 221 Pounds of It, From a Berlin Museum - The New York Times by Melissa Eddy",0
"New England Patriots’ Owner, Still Sore at N.F.L., Has Payback in Sight - The New York Times by Ken Belson and Ben Shpigel",0
"College Republicans, YAF Sue Berkeley over Ann Coulter Event - Breitbart by Tom Ciccotta",1
Trump Melts Down And Accuses The US Postal Service Of Stealing The Election For Clinton by Jason Easley,1
Visiting Madagascar? Leave Red Swimsuits (and Lemur Recipes) at Home - The New York Times by Bryant Rousseau,1
Reese’s Peanut Butter Cups – Cheap and Full of Toxic Chemicals by REALdeal,1
President Obama and President-Elect Donald Trump Meet at White House by REALdeal,1
no title by Dale Johnson,0
The Real Numbers in Florida: Trump Winning by 14 Points by Andrew Anglin,1
Ann Coulter On C-Span Quotes VDARE.com’s Brimelow–A Racist Is Someone Winning An Argument With A Liberal. by James Fulford,1
‘Age of Empires’: How 2 Dynasties of Art Forged China’s Identity - The New York Times by Holland Cotter,0
Because STUPID! NARAL created deck of ‘Gender Cards’ for Hillary; guess which card she is by Sam J.,1
"Bill Weld, Running as a Libertarian, Likens Donald Trump’s Immigration Plan to Kristallnacht - The New York Times by Maggie Haberman and Thomas Kaplan",0
"How Housing’s New Players Spiraled Into Banks’ Old Mistakes - The New York Times by Matthew Goldstein, Rachel Abrams and Ben Protess",0
Переплюнуть Калигулу… by Жанна Ивченко,1
Sen Booker: Trump Is Creating ’Toxic’ Environment of ’Fear’ - Breitbart by Pam Key,1
Facebook Wall: Reactions to Donald Trump’s victory in US Presidential elections by UnReal Mama,1
"In ‘Divorce,’ Sarah Jessica Parker Wants to Ditch Mr. Medium - The New York Times by James Poniewozik",0
Senate Passes Bill Exposing Saudi Arabia to 9/11 Legal Claims - The New York Times by Mark Mazzetti,0
DAPL Protesters Proven Right as Largest Gas Pipeline in U.S. Experiences Massive and Deadly Explosion – Anonymous by no author,1
"Bhumibol Adulyadej, 88, People’s King of Thailand, Dies After 7-Decade Reign - The New York Times by Barbara Crossette",0
Krauthammer: Gorsuch Filibuster a ’Totally Illogical’ Move Fueled by ’Trump Derangement Syndrome’ - Breitbart by Ian Hanchett,1
Stop Trump Mixtape: A Protest Song Collection by Kevin Gosztola,1
What Happened to the FBI? by Andrew Napolitano,0
"Clubbers Lament Demise of Fabric, a ‘Totem’ of London’s Dance Scene - The New York Times by Dan Bilefsky",0
A Hushed Departure at the Met Museum Reveals Entrenched Management Culture - The New York Times by Robin Pogrebin,0
"Trump: Confidence In Economy ’Has Reached Levels Not Seen In Many, Many Years’ - Breitbart by Ian Hanchett",1
no title by Doctor Who?,1
Jason Miller Backs Out of White House Communications Job Under Trump - The New York Times by Michael D. Shear,1
Turkish Leader Erdogan Making New Enemies and Frustrating Old Friends - The New York Times by Sabrina Tavernise,0
no title by Rakiha geevinda,1
Exclusive-Rep. Dave Brat: RyanCare a Perverse Economic System - Breitbart by Neil W. McCabe,1
U.N. Chief Condemns Airstrike on Yemeni Funeral and Dismisses Saudi Denials - The New York Times by Nick Cumming-Bruce and Eric Schmitt,0
no title by Marietta Peverelli,1
Paul Craig Roberts: Trump faces assasination by no author,1
‘The Walking Dead’ Is Back: 7 Questions for the Second Half Premiere - The New York Times by Jeremy Egner,0
The African voters in the US who want Donald Trump as their president by no author,0
2 Education Dept. Picks Raise Fears on Civil Rights Enforcement - The New York Times by Erica L. Green,0
News: Office Of The Future: Researchers Predict That Over 50 Percent Of Workplace Discrimination Will Be Automated By 2040 by no author,1
WHITE HOUSE BACKS BRAZILE AFTER IT WAS REVEALED SHE LEAKED DEBATE QUESTIONS TO CLINTON CAMPAIGN by Iron Sheik,1
U.S.-Backed Militia Opens Drive on ISIS Capital in Syria - The New York Times by Eric Schmitt,0
"In Rush to Lay Blame, Media Ignores Positive Community Movement in Flint, Michigan by Activist Post",1
"DeRay Mckesson, Arrested While Protesting in Baton Rouge, Is Released - The New York Times by Yamiche Alcindor",0
"Carrie Fisher, a Princess, a Rebel and a Brave Comic Voice - The New York Times by A.O. Scott",0
"Kunduz Attack in November Killed 33 Civilians, U.S. Military Says - The New York Times by Mujib Mashal",1
Top five donors to Clinton campaign are Jewish by Gilad Atzmon,1
"Clinton, Trump Both Promise Hands Off Social Security by Joe Wolverton, II, J.D.",0
Congressional Hawks Rush to Intensify War in Syria by Anonymous,0
Stanley Black &amp Decker Announce Opening of New U.S. Plant After Trump White House Win - Breitbart by Warner Todd Huston,1
Six Gulf Protectors Arrested Challenging Gulf Oil Drilling by Bill Quigley,1
Hillary Clinton’s Gun Control Agenda Exposed in WikiLeaks Emails by The Daily Sheeple,1
My Last Thoughts Before An Historic Election by Rowan Wolf,0
Anonymous To Release The 33000 Deleted Hillary E-Mails Starting November 1st by no author,1
Washington’s meddling in foreign elections by Jacob Hornberger,0
Donald Trump Reacts to Egypt Ramadan Terror: ‘The Bloodletting of Christians Must End’ - Breitbart by Charlie Spiering,1
TERROR THREAT WARNING MONDAY | RedFlag News by no author,1
Germany Bans Cultivation of GM Crops Under EU Opt-Out Law by Christina Sarich,1
Men Are Binded By Their Shared Realization Of Truth by André du Pôle,0
The Top Political Tweets and Hashtags of 2016 - The New York Times by Daniel Victor,1
"Aleppo, Donald Trump, Asia-Pacific Economic Cooperation: Your Monday Briefing - The New York Times by Charles McDermid",0
The Best Sandwich Ever - The New York Times by Sam Sifton,0
Gunfire and Panicked Calls on Police Log of Orlando Shooting - The New York Times by Richard Pérez-Peña and Frances Robles,0
Grandiose Ideas for Donald Trump Inaugural Give Way to Traditional - The New York Times by Maggie Haberman and Nicholas Fandos,0
Murder Inc. in the White House; Obama’s Drones for Breakfast Club by Thomas C. Mountain,1
High School Basketball Player Scores an Amazing 92 Points in One Game - Breitbart by Warner Todd Huston,1
Former Penn State President Found Guilty in Sandusky Abuse Case - The New York Times by Jess Bidgood and Richard Pérez-Peña,0
"You’re Fired! Trump Wins Big, Clinton Is Going To Jail by Starkman",1
North Korea Threatens ’Super-Mighty Preemptive Strike’ to Reduce America to ’Ashes’ by John Hayward,1
Jennifer Palmieri and Clinton Camp Caught Hiding 55k Emails by The European Union Times,1
Will Trump Dump The Wahabbi Autocrats? | New Eastern Outlook by Author,0
The Source of our Rage: The Ruling Elite Is Protected from the Consequences of its Dominance by Gillian,0
Even Penguins Have Children Who Won’t Leave the Nest - The New York Times by Nicholas Bakalar,1
A New York Holiday Tradition to Count On? Big Crowds - The New York Times by Winnie Hu,0
Runway vs. Red Carpet - The New York Times by Vanessa Friedman,0
D.C. Bar Will Offer Free Drinks Every Time Trump Tweets about Comey - Breitbart by Tony Lee,1
Google Violence at Temple U Popular Across the Country by Andrew Anglin,1
"Wife of Orlando Gunman Is Charged Under Antiterrorism Laws - The New York Times by Erin Marie Daly, Richard Pérez-Peña and Adam Goldman",0
A Sour Surprise for Public Pensions: Two Sets of Books - The New York Times by Mary Williams Walsh,0
How to Save the Conversation at Your Post-Election Thanksgiving Dinner by Pamela Bofferding,1
The 5 Biggest Threats To Humanity Exposed by Whitney Webb,1
Trump Will Issue New Travel Order Instead of Fighting Case in Court - The New York Times by Adam Liptak,0
Egyptian Court Clears Way for Hosni Mubarak’s Release - The New York Times by Declan Walsh,0
Russia Moves to Soften Domestic Violence Law - The New York Times by Ivan Nechepurenko,1
Against Hillary's Malevolent Matriarchy by Ilana Mercer,0
Multiple universes and enhanced life by Gillian,0
Reuters: Vice Admiral Harward Trump Pick for National Security Adviser - Breitbart by Reuters,1
Former GOP Representative Calls For Armed Insurrection (VIDEO) by Carrie MacDonald,1
"VIDEO: Three Suspected Attackers Beat, Rob Man in Broad Daylight in Philadelphia - Breitbart by Katherine Rodriguez",1
Comparisons? Golden State Warriors Are Playing a Different Game - The New York Times by Harvey Araton,0
"A Jewish Player’s 1914 Baseball Card Triggers a $125,000 Dispute - The New York Times by Ben Berkon",0
"Putin Led a Complex Cyberattack Scheme to Aid Trump, Report Finds - The New York Times by Michael D. Shear and David E. Sanger",0
“Obama Set Up the Next President For a Major Recession”… And A Giant Crash Is Coming by Contributing Author,0
How I Created My Very First Garden From Scratch - The New York Times by Michelle Slatalla,0
Americans approve dope. More Soon. by Adrian Bamforth,1
"Bridget Nielson and Gigi Young on ETs, Starseeds & Hybrid Children [VIDEO] by stevew",1
Obama Signs Executive Order Declaring Investigation Into Election Results; Revote Planned For Dec. 19th - ABC News by Jimmy Rustling,0
Nate Terani: One Veteran's War on Islamophobia by Nick Turse,1
POLLAK: Adm. Mike Mullen’s Partisan Attack on Steve Bannon - Breitbart by Joel B. Pollak,1
Ruth Bader Ginsburg Calls Colin Kaepernick’s National Anthem Protest ‘Dumb’ - The New York Times by Christine Hauser,0
Elizabeth Warren: ‘We Need a Justice Department Not an Obstruction of Justice Department’ - Breitbart by Penny Starr,1
"White House Calls for Deep Cuts to Taxes on Families, Individuals, and Businesses - Breitbart by John Carney",1
Netflix Goes Global and Its Profit Soars - The New York Times by Emily Steel,0
"After Terrorizing America with Zika Scaremongering, Washington Post Now Admits Zika Virus Doesn’t Cause Brain Deformities After All by NaturalNews Network",0
Charles Koch Makes Massive Donation to Historically Black Colleges - Breitbart by Tom Ciccotta,1
Analyzis Of A Photographed Alien by no author,1
Democratic Congressman Threatens Violence If GOP Tries To Defund Planned Parenthood | Daily Wire by no author,1
Marine Le Pen Hails ’Extremely Positive’ Dutch Elections by Chris Tomlinson,1
Vox Editor: 'I Have Written There's 0 Evidence The Clinton Foundation Was Used For Personal Family Enrichment. Looks Like I Was Wrong' | RedFlag News by Redflag Newsdesk,1
Hamas Sentences Two Palestinians to Death for Drug Smuggling by Breitbart Jerusalem,1
Trump to NATO: Pay Up - Breitbart by Charlie Spiering,1
no title by Rich Knoch,1
Anthony Weiner’s Alleged Teenaged Sexting Victim Pens SCATHING Open Letter To FBI Director Comey by Allison Vincent,1
